Membership No  Date Joined  Active  
    84868      2018-5-9     no    
    18846      2019-9-17    no    
    33679      2018-9-3     no    
    73972      2019-4-20    no    
    20471      2020-10-4    no    
    90100      2020-8-14    no    
    89916      2020-4-20    no    
    24202      2017-11-23   no    
    38273      2017-1-2     no    
    51337      2016-7-12    no    
    56630      2020-9-21    no    
    99117      2020-6-4     no    
    64184      2017-8-11    no    
    92502      2015-10-8    no    
