Membership No  Date Joined  Active  
    55252      2018-4-25    no    
    23386      2016-1-2     no    
    62207      2018-1-17    no    
    70195      2019-10-5    no    
    58950      2018-9-5     no    
    37634      2018-10-23   no    
    66269      2020-8-20    no    
    24314      2017-8-2     no    
    20450      2020-5-23    no    
    34232      2019-7-8     no    
    37407      2020-2-3     no    
    65626      2016-11-19   no    
    13686      2016-9-6     no    
    87816      2015-1-21    no    
    24649      2017-7-11    no    
    45461      2016-9-25    no    
